t_ns,t_bag_ns,mx,my,mz
1784885685840012480,1784885685842748920,0.0,0.0,0.0
1784885685889980275,1784885685896128672,0.0,0.0,0.0
1784885685940047167,1784885685946866102,0.0,0.0,0.0
1784885685990139686,1784885685992668709,0.0,0.0,0.0
1784885686040012684,1784885686049621923,0.0,0.0,0.0
1784885686089951212,1784885686093512447,0.0,0.0,0.0
1784885686139926921,1784885686141561641,0.0,0.0,0.0
1784885686189919923,1784885686194995506,0.0,0.0,0.0
1784885686240008635,1784885686243939800,0.0,0.0,0.0
1784885686290535972,1784885686299814978,0.0,0.0,0.0
1784885686340144101,1784885686343031539,0.0,0.0,0.0
1784885686389883157,1784885686401642138,0.0,0.0,0.0
1784885686439912858,1784885686448335333,0.0,0.0,0.0
1784885686489936634,1784885686492165995,0.0,0.0,0.0
1784885686539963113,1784885686546839023,0.0,0.0,0.0
1784885686589889828,1784885686592607974,0.0,0.0,0.0
1784885686639882960,1784885686650879324,0.0,0.0,0.0
1784885686689890535,1784885686691610966,0.0,0.0,0.0
1784885686739884778,1784885686742649399,0.0,0.0,0.0
1784885686789836045,1784885686795635455,0.0,0.0,0.0
1784885686839888817,1784885686841875323,0.0,0.0,0.0
1784885686889832790,1784885686898604329,0.0,0.0,0.0
1784885686939963884,1784885686943763271,0.0,0.0,0.0
1784885686989854197,1784885687002574139,0.0,0.0,0.0
1784885687039894772,1784885687044039835,0.0,0.0,0.0
1784885687089924518,1784885687091671742,0.0,0.0,0.0
1784885687139829965,1784885687146909478,0.0,0.0,0.0
1784885687189841084,1784885687192540325,0.0,0.0,0.0
1784885687239772880,1784885687250863380,0.0,0.0,0.0
1784885687289957307,1784885687291690237,0.0,0.0,0.0
1784885687339835888,1784885687342769024,0.0,0.0,0.0
1784885687389767555,1784885687395609403,0.0,0.0,0.0
1784885687439762490,1784885687442072489,0.0,0.0,0.0
1784885687489776645,1784885687499593135,0.0,0.0,0.0
1784885687539866938,1784885687543021339,0.0,0.0,0.0
1784885687589840524,1784885687602801324,0.0,0.0,0.0
1784885687639805149,1784885687644571478,0.0,0.0,0.0
1784885687689715744,1784885687692710612,0.0,0.0,0.0
1784885687739712142,1784885687747897818,0.0,0.0,0.0
1784885687789722390,1784885687793590231,0.0,0.0,0.0
1784885687839780946,1784885687850632054,0.0,0.0,0.0
1784885687890213414,1784885687892628769,0.0,0.0,0.0
1784885687939719306,1784885687942808327,0.0,0.0,0.0
1784885687989687134,1784885687995709032,0.0,0.0,0.0
1784885688039714033,1784885688043446671,0.0,0.0,0.0
1784885688089693811,1784885688099866716,0.0,0.0,0.0
1784885688139755318,1784885688144066080,0.0,0.0,0.0
1784885688189940531,1784885688202679900,0.0,0.0,0.0
1784885688239669935,1784885688245068049,0.0,0.0,0.0
1784885688289978094,1784885688292603439,0.0,0.0,0.0
1784885688339736809,1784885688348422992,0.0,0.0,0.0
1784885688390003752,1784885688393492423,0.0,0.0,0.0
1784885688439691107,1784885688450681826,0.0,0.0,0.0
1784885688489601357,1784885688492626888,0.0,0.0,0.0
1784885688539567822,1784885688543041236,0.0,0.0,0.0
1784885688589616886,1784885688596486984,0.0,0.0,0.0
1784885688639644769,1784885688642110024,0.0,0.0,0.0
1784885688689929060,1784885688699605534,0.0,0.0,0.0
1784885688739625525,1784885688742913205,0.0,0.0,0.0
1784885688789907076,1784885688802623764,0.0,0.0,0.0
1784885688839668495,1784885688844450360,0.0,0.0,0.0
1784885688889627720,1784885688892662490,0.0,0.0,0.0
1784885688939625070,1784885688947650435,0.0,0.0,0.0
1784885688989551336,1784885688992073417,0.0,0.0,0.0
1784885689039565207,1784885689050880661,0.0,0.0,0.0
1784885689089512348,1784885689093216601,0.0,0.0,0.0
1784885689139547625,1784885689143609644,0.0,0.0,0.0
1784885689189601899,1784885689195618022,0.0,0.0,0.0
1784885689239545282,1784885689243635001,0.0,0.0,0.0
1784885689289521789,1784885689299175193,0.0,0.0,0.0
1784885689339595505,1784885689343071882,0.0,0.0,0.0
1784885689389517020,1784885689402584531,0.0,0.0,0.0
1784885689439575960,1784885689444042276,0.0,0.0,0.0
1784885689489564318,1784885689492517840,0.0,0.0,0.0
1784885689539557656,1784885689548180756,0.0,0.0,0.0
1784885689589849324,1784885689593608477,0.0,0.0,0.0
1784885689639539759,1784885689650729213,0.0,0.0,0.0
1784885689689436204,1784885689693563251,0.0,0.0,0.0
1784885689739498847,1784885689743232541,0.0,0.0,0.0
1784885689789490575,1784885689795837985,0.0,0.0,0.0
1784885689839562810,1784885689841928523,0.0,0.0,0.0
1784885689889600679,1784885689899823431,0.0,0.0,0.0
1784885689939538784,1784885689944077794,0.0,0.0,0.0
1784885689989969692,1784885690002682085,0.0,0.0,0.0
1784885690039420813,1784885690045026493,0.0,0.0,0.0
1784885690089447524,1784885690092685434,0.0,0.0,0.0
1784885690139511044,1784885690147647638,0.0,0.0,0.0
1784885690189718471,1784885690191680703,0.0,0.0,0.0
1784885690239430169,1784885690252763961,0.0,0.0,0.0
1784885690289376854,1784885690293572152,0.0,0.0,0.0
1784885690339413897,1784885690341641648,0.0,0.0,0.0
1784885690389369395,1784885690397170423,0.0,0.0,0.0
1784885690439478835,1784885690442853412,0.0,0.0,0.0
1784885690489316923,1784885690499675899,0.0,0.0,0.0
1784885690539412717,1784885690542097573,0.0,0.0,0.0
1784885690589354791,1784885690592002060,0.0,0.0,0.0
1784885690639501838,1784885690644917136,0.0,0.0,0.0
1784885690689332094,1784885690692555894,0.0,0.0,0.0
1784885690739373728,1784885690747811780,0.0,0.0,0.0
1784885690789723969,1784885690791759173,0.0,0.0,0.0
1784885690839439222,1784885690851868230,0.0,0.0,0.0
1784885690889306899,1784885690893238937,0.0,0.0,0.0
1784885690939383732,1784885690941870578,0.0,0.0,0.0
1784885690989289145,1784885690996662139,0.0,0.0,0.0
1784885691039282050,1784885691043005339,0.0,0.0,0.0
1784885691089290844,1784885691099717830,0.0,0.0,0.0
1784885691139394069,1784885691142108940,0.0,0.0,0.0
1784885691189602817,1784885691191670350,0.0,0.0,0.0
1784885691239328668,1784885691245001561,0.0,0.0,0.0
1784885691289259268,1784885691291878152,0.0,0.0,0.0
1784885691339293966,1784885691348789171,0.0,0.0,0.0
1784885691389310555,1784885691392601624,0.0,0.0,0.0
1784885691439245729,1784885691451969068,0.0,0.0,0.0
1784885691489560758,1784885691493742836,0.0,0.0,0.0
1784885691539234524,1784885691541759494,0.0,0.0,0.0
1784885691589271758,1784885691596608998,0.0,0.0,0.0
1784885691639275682,1784885691643111196,0.0,0.0,0.0
1784885691689150975,1784885691700754875,0.0,0.0,0.0
1784885691739181081,1784885691744437383,0.0,0.0,0.0
1784885691789152916,1784885691792594466,0.0,0.0,0.0
1784885691839169820,1784885691845757237,0.0,0.0,0.0
1784885691889130157,1784885691890686353,0.0,0.0,0.0
1784885691939141969,1784885691948733125,0.0,0.0,0.0
1784885691989153077,1784885691992771195,0.0,0.0,0.0
1784885692039171633,1784885692051674616,0.0,0.0,0.0
1784885692089211188,1784885692093614237,0.0,0.0,0.0
1784885692139176272,1784885692141880663,0.0,0.0,0.0
1784885692189115377,1784885692197157004,0.0,0.0,0.0
1784885692239145045,1784885692240896121,0.0,0.0,0.0
1784885692289136143,1784885692300623227,0.0,0.0,0.0
1784885692339208712,1784885692342224894,0.0,0.0,0.0
1784885692389905159,1784885692393698161,0.0,0.0,0.0
1784885692439139416,1784885692446074287,0.0,0.0,0.0
1784885692489072560,1784885692491585995,0.0,0.0,0.0
1784885692539064621,1784885692548879284,0.0,0.0,0.0
1784885692589057349,1784885692592825799,0.0,0.0,0.0
1784885692639069167,1784885692640775509,0.0,0.0,0.0
1784885692689419902,1784885692693741647,0.0,0.0,0.0
1784885692739088970,1784885692742349804,0.0,0.0,0.0
1784885692789046277,1784885692797646198,0.0,0.0,0.0
1784885692839099589,1784885692841496300,0.0,0.0,0.0
1784885692889060044,1784885692900672870,0.0,0.0,0.0
1784885692939114393,1784885692943098591,0.0,0.0,0.0
1784885692989033113,1784885692992634122,0.0,0.0,0.0
1784885693039015272,1784885693046599814,0.0,0.0,0.0
1784885693089321167,1784885693091763928,0.0,0.0,0.0
1784885693139036920,1784885693148675738,0.0,0.0,0.0
1784885693189052670,1784885693192539455,0.0,0.0,0.0
1784885693239031146,1784885693240926574,0.0,0.0,0.0
1784885693288968832,1784885693293866573,0.0,0.0,0.0
1784885693339033371,1784885693343176400,0.0,0.0,0.0
1784885693388959577,1784885693397714941,0.0,0.0,0.0
1784885693438991898,1784885693442433930,0.0,0.0,0.0
1784885693489003519,1784885693502561840,0.0,0.0,0.0
1784885693539021934,1784885693543394228,0.0,0.0,0.0
1784885693589519526,1784885693592962705,0.0,0.0,0.0
1784885693638993071,1784885693645758502,0.0,0.0,0.0
1784885693689190018,1784885693691736671,0.0,0.0,0.0
1784885693738967503,1784885693749031523,0.0,0.0,0.0
1784885693788895376,1784885693791902874,0.0,0.0,0.0
1784885693838899664,1784885693840752986,0.0,0.0,0.0
1784885693888888398,1784885693893697873,0.0,0.0,0.0
1784885693938902259,1784885693942656193,0.0,0.0,0.0
1784885693988878902,1784885693997722792,0.0,0.0,0.0
1784885694038967516,1784885694043561244,0.0,0.0,0.0
1784885694088885378,1784885694100693568,0.0,0.0,0.0
1784885694138933462,1784885694143011518,0.0,0.0,0.0
1784885694188975324,1784885694190665206,0.0,0.0,0.0
1784885694238869577,1784885694246157438,0.0,0.0,0.0
1784885694288987078,1784885694291691729,0.0,0.0,0.0
1784885694338942212,1784885694350935526,0.0,0.0,0.0
1784885694388823522,1784885694390615760,0.0,0.0,0.0
1784885694438879291,1784885694442568993,0.0,0.0,0.0
1784885694491696646,1784885694494757878,0.0,0.0,0.0
1784885694538842014,1784885694540791027,0.0,0.0,0.0
1784885694588803462,1784885694598660936,0.0,0.0,0.0
1784885694638890244,1784885694642119768,0.0,0.0,0.0
1784885694688824381,1784885694701807579,0.0,0.0,0.0
1784885694738871687,1784885694743924297,0.0,0.0,0.0
1784885694788760478,1784885694791629921,0.0,0.0,0.0
1784885694838841632,1784885694846156174,0.0,0.0,0.0
1784885694890252179,1784885694891797691,0.0,0.0,0.0
1784885694938749789,1784885694949756681,0.0,0.0,0.0
1784885694988994439,1784885694990741608,0.0,0.0,0.0
1784885695038728439,1784885695042936831,0.0,0.0,0.0
1784885695088695559,1784885695095648762,0.0,0.0,0.0
1784885695138814416,1784885695141718985,0.0,0.0,0.0
1784885695188954271,1784885695197620520,0.0,0.0,0.0
1784885695238768523,1784885695242338908,0.0,0.0,0.0
1784885695288977942,1784885695301711564,0.0,0.0,0.0
1784885695338720740,1784885695343240219,0.0,0.0,0.0
1784885695388696025,1784885695390563605,0.0,0.0,0.0
1784885695438726025,1784885695446004851,0.0,0.0,0.0
1784885695488658611,1784885695491587177,0.0,0.0,0.0
1784885695538696795,1784885695549812322,0.0,0.0,0.0
1784885695588635400,1784885695591689096,0.0,0.0,0.0
1784885695638720262,1784885695643011364,0.0,0.0,0.0
1784885695689344829,1784885695694653923,0.0,0.0,0.0
1784885695738697347,1784885695740998423,0.0,0.0,0.0
1784885695788620194,1784885695797696276,0.0,0.0,0.0
1784885695838699724,1784885695842222912,0.0,0.0,0.0
1784885695888639366,1784885695900730093,0.0,0.0,0.0
1784885695938710267,1784885695943046715,0.0,0.0,0.0
1784885695988760931,1784885695990704259,0.0,0.0,0.0
1784885696038648046,1784885696045826664,0.0,0.0,0.0
1784885696088709121,1784885696091664497,0.0,0.0,0.0
1784885696138642287,1784885696149685677,0.0,0.0,0.0
1784885696188562473,1784885696191714934,0.0,0.0,0.0
1784885696238597700,1784885696241753309,0.0,0.0,0.0
1784885696288912722,1784885696294759206,0.0,0.0,0.0
1784885696338601014,1784885696341676097,0.0,0.0,0.0
1784885696388545475,1784885696397764242,0.0,0.0,0.0
1784885696438612716,1784885696442450214,0.0,0.0,0.0
1784885696488966696,1784885696500734172,0.0,0.0,0.0
1784885696538626658,1784885696543005712,0.0,0.0,0.0
1784885696588499462,1784885696590627877,0.0,0.0,0.0
1784885696638518932,1784885696646040652,0.0,0.0,0.0
1784885696688508535,1784885696691864357,0.0,0.0,0.0
1784885696738566907,1784885696750805190,0.0,0.0,0.0
1784885696788486871,1784885696791815030,0.0,0.0,0.0
1784885696838527097,1784885696842073301,0.0,0.0,0.0
1784885696888539234,1784885696894719266,0.0,0.0,0.0
1784885696938556945,1784885696941108006,0.0,0.0,0.0
1784885696988551214,1784885696997679215,0.0,0.0,0.0
1784885697038456832,1784885697043117903,0.0,0.0,0.0
