t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885713210188387,1784885713210713951,276,255,0.010307992808520794,6.270440101623535,0.0227423794567585,0.0004363833286333829,0.12012012302875519
1784885713320171951,1784885713320684370,275,253,0.013528094626963139,6.273543834686279,0.022772733122110367,0.00043639144860208035,0.1199600100517273
1784885713450163975,1784885713450557660,275,252,0.010721482336521149,6.270659446716309,0.022833440452814102,0.0004363968619145453,0.11964107304811478
1784885713570268070,1784885713570684072,274,248,0.002439761534333229,6.262192249298096,0.02286379411816597,0.000436409842222929,0.11948224157094955
1784885713690193796,1784885713690844480,275,247,0.013754335232079029,6.273696422576904,0.02281826362013817,0.0004363965999800712,0.11972065269947052
1784885713810154724,1784885713810593136,275,246,0.0009244435932487249,6.2589592933654785,0.02281826362013817,0.00043652960448525846,0.11972065269947052
1784885713930185202,1784885713930738839,275,243,0.006637790240347385,6.266589164733887,0.0227879099547863,0.0004363959014881402,0.11988011747598648
1784885714050221105,1784885714050589877,275,238,0.011818512342870235,6.2700324058532715,0.022833440452814102,0.00043651708983816206,0.11964107304811478
1784885714170198649,1784885714170521568,275,242,0.020786846056580544,6.280590534210205,0.022833440452814102,0.0004364062624517828,0.11964107304811478
1784885714290176156,1784885714290729268,275,238,0.01466227788478136,6.274787425994873,0.022780321538448334,0.0004363838233985007,0.11992005258798599
1784885714410155111,1784885714410535430,276,240,0.017903991043567657,6.277859687805176,0.022727202624082565,0.0004363956395536661,0.12020033597946167
1784885714530177302,1784885714530683577,275,238,0.0028151054866611958,6.262948513031006,0.022825852036476135,0.00043638324132189155,0.11968085169792175
1784885714660259703,1784885714660883804,275,242,0.005361775867640972,6.265171527862549,0.022825852036476135,0.0004364057967904955,0.11968085169792175
1784885714770173398,1784885714770553327,274,242,0.018247954547405243,6.278165340423584,0.02286379411816597,0.00043639831710606813,0.11948224157094955
1784885714900167176,1784885714900600829,275,238,0.021484503522515297,6.281409740447998,0.02284102886915207,0.00043639776413328946,0.11960133165121078
1784885715010175884,1784885715010621507,276,233,0.0027311393059790134,6.262688636779785,0.022757556289434433,0.0004363955231383443,0.12004001438617706
1784885715140160698,1784885715140936491,275,242,0.02117340639233589,6.280059337615967,0.022772733122110367,0.0004364702326711267,0.1199600100517273
1784885715250160958,1784885715250602757,276,241,0.0067711458541452885,6.266703128814697,0.02268926054239273,0.0004363972693681717,0.12040133774280548
1784885715380157595,1784885715380530141,277,243,0.0031979552004486322,6.263345718383789,0.02262096479535103,0.000436382251791656,0.1207648441195488
1784885715500177139,1784885715500713155,277,247,0.012192709371447563,6.270723342895508,0.022628553211688995,0.0004364950000308454,0.12072434276342392
1784885715620160933,1784885715620486964,277,245,0.005121330730617046,6.265259742736816,0.022628553211688995,0.0004363828629720956,0.12072434276342392
1784885715740259455,1784885715740778674,278,241,0.0032950907479971647,6.263604640960693,0.022575436159968376,0.00043637098860926926,0.12100840359926224
1784885715860167240,1784885715860743368,278,246,0.012988892383873463,6.273298263549805,0.022575436159968376,0.00043637098860926926,0.12100840359926224
1784885715990184351,1784885715990666836,277,249,0.02042742259800434,6.279853343963623,0.02264373004436493,0.00043643254321068525,0.12064342945814133
1784885716110166402,1784885716110621916,277,243,0.02225029096007347,6.282391548156738,0.022658906877040863,0.00043638268834911287,0.12056262791156769
1784885716230184175,1784885716230686569,278,247,0.023046504706144333,6.2829909324646,0.022560259327292442,0.00043639642535708845,0.12108980864286423
1784885716350159040,1784885716350473672,279,245,0.0032423110678792,6.263546466827393,0.022507140412926674,0.0004363713669590652,0.12137559056282043
1784885716470176331,1784885716470524053,278,250,0.013437031768262386,6.273753643035889,0.022529905661940575,0.0004363704938441515,0.12125294655561447
1784885716600193415,1784885716600842370,278,245,0.008468090556561947,6.2685627937316895,0.022560259327292442,0.0004363859770819545,0.12108980864286423
1784885716720160838,1784885716720444253,279,246,0.007326464634388685,6.2674560546875,0.02249196358025074,0.0004363835323601961,0.12145748734474182
1784885716840183733,1784885716840744978,279,251,0.01121517550200224,6.271518707275391,0.02243884466588497,0.00043637139606289566,0.12174501270055771
1784885716960183021,1784885716960765888,279,249,0.0027418469544500113,6.2632246017456055,0.022484375163912773,0.0004363589105196297,0.1214984804391861
1784885717080174472,1784885717080515065,279,250,0.01960761286318302,6.279855251312256,0.022461609914898872,0.00043637529597617686,0.12162162363529205
1784885717200177297,1784885717200973461,279,251,0.010729617439210415,6.271041393280029,0.022499551996588707,0.000436370843090117,0.12141652405261993
1784885717330178602,1784885717330656034,278,246,0.016910914331674576,6.277227401733398,0.022529905661940575,0.0004363704938441515,0.12125294655561447
1784885717450222160,1784885717450607883,278,255,0.017150819301605225,6.2772698402404785,0.02253749407827854,0.00043638425995595753,0.12121212482452393
1784885717570163951,1784885717570736486,278,256,0.01858706586062908,6.278742790222168,0.022575436159968376,0.00043638169881887734,0.12100840359926224
