t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550085005575615,1789550085008969750,274.619414544,426.458989848,0.0,0.0
1789550085010181788,1789550085012583770,274.619414544,426.458989848,0.0,0.0
1789550085016530212,1789550085026487212,274.619414544,426.458989848,0.0,0.0
1789550085027415642,1789550085032022685,274.619414544,426.458989848,0.0,0.0
1789550085032405420,1789550085038595939,274.619414544,426.458989848,0.0,0.0
1789550085038143890,1789550085048134927,274.619414544,426.458989848,0.0,0.0
1789550085047519417,1789550085049947492,274.619414544,426.458989848,0.0,0.0
1789550085052354031,1789550085054499776,274.619414544,426.458989848,0.0,0.0
1789550085057666674,1789550085068457995,274.619414544,426.458989848,0.0,0.0
1789550085068551419,1789550085070516520,274.620948525,426.458989848,0.0,0.0
1789550085072243679,1789550085076437394,274.620948525,426.458989848,0.0,0.0
1789550085088684694,1789550085092395527,274.620948525,426.458989848,0.0,0.0
1789550085094281499,1789550085100302188,274.619414544,426.458989848,0.0,0.0
1789550085101206378,1789550085110013654,274.619414544,426.458989848,0.0,0.0
1789550085110052598,1789550085113181181,274.619414544,426.458989848,0.0,0.0
1789550085113311013,1789550085120743976,274.619414544,426.458989848,0.0,0.0
1789550085120343686,1789550085130952491,274.619414544,426.458989848,0.0,0.0
1789550085130986398,1789550085134200054,274.619414544,426.458989848,0.0,0.0
1789550085135459942,1789550085138532378,274.619414544,426.458989848,0.0,0.0
1789550085139219664,1789550085152674871,274.619414544,426.458989848,0.0,0.0
1789550085153724393,1789550085159069350,274.620948525,426.458989848,0.0,0.0
1789550085159816376,1789550085173812409,274.620948525,426.458989848,0.0,0.0
1789550085175236351,1789550085178521728,274.619414544,426.458989848,0.0,0.0
1789550085181848493,1789550085194218827,274.619414544,426.458989848,0.0,0.0
1789550085195394514,1789550085197322874,274.619414544,426.458989848,0.0,0.0
1789550085200526141,1789550085202568481,274.619414544,426.458989848,0.0,0.0
1789550085203688409,1789550085214894279,274.619414544,426.458989848,0.0,0.0
1789550085215550788,1789550085220694711,274.619414544,426.458989848,0.0,0.0
1789550085221312721,1789550085226659604,274.619414544,426.458989848,0.0,0.0
1789550085226332813,1789550085235650007,274.619414544,426.458989848,0.010287773462710497,0.011079140652149764
1789550085236155870,1789550085239627356,274.654696107,426.49273743,0.010287773462710497,0.011079140652149764
1789550085240325012,1789550085244690280,274.654696107,426.49273743,0.010287773462710497,0.011079140652149764
1789550085255644932,1789550085259617929,274.654696107,426.49273743,0.0664748439128986,0.06489210953402005
1789550085261598640,1789550085266379810,274.745200986,426.577106385,0.0664748439128986,0.06489210953402005
1789550085266046759,1789550085276692638,274.745200986,426.577106385,0.12820148468916157,0.12661875031028302
1789550085277421164,1789550085279725944,274.857181599,426.687553017,0.12820148468916157,0.12661875031028302
1789550085282488903,1789550085288972677,274.857181599,426.687553017,0.12820148468916157,0.12661875031028302
1789550085288103949,1789550085297898841,274.857181599,426.687553017,0.16618710978224646,0.16618710978224646
1789550085298476499,1789550085301152033,274.98143406,426.811805478,0.16618710978224646,0.16618710978224646
1789550085302376367,1789550085306417714,274.98143406,426.811805478,0.16618710978224646,0.16618710978224646
1789550085307248794,1789550085320235582,274.98143406,426.811805478,0.18755402389710674,0.18913675827598528
1789550085320180842,1789550085324307151,275.114890407,426.942193863,0.18755402389710674,0.18913675827598528
1789550085324531111,1789550085328635550,275.114890407,426.942193863,0.18755402389710674,0.18913675827598528
1789550085329256022,1789550085340299043,275.114890407,426.942193863,0.2010072661175743,0.2033813676858921
1789550085340947922,1789550085344460963,275.251414716,427.078718172,0.2010072661175743,0.2033813676858921
1789550085346345435,1789550085350643945,275.251414716,427.078718172,0.2010072661175743,0.2033813676858921
1789550085354595664,1789550085361570282,275.251414716,427.078718172,0.21050367239084553,0.2112950395802848
1789550085362655414,1789550085365380781,275.387939025,427.21984442400003,0.21050367239084553,0.2112950395802848
1789550085367233457,1789550085370417299,275.387939025,427.21984442400003,0.21050367239084553,0.2112950395802848
1789550085372270882,1789550085382137587,275.387939025,427.21984442400003,0.21525187552748115,0.21525187552748115
1789550085383802896,1789550085390121709,275.530599258,427.354834752,0.21525187552748115,0.21525187552748115
1789550085392017200,1789550085402611338,275.530599258,427.354834752,0.2192087114746775,0.21762597709579895
1789550085405397612,1789550085408289069,275.668657548,427.495961004,0.2192087114746775,0.21762597709579895
1789550085408485695,1789550085413009350,275.668657548,427.495961004,0.2192087114746775,0.21762597709579895
1789550085413278754,1789550085424943414,275.668657548,427.495961004,0.22079144585355603,0.2192087114746775
1789550085425839622,1789550085428653766,275.808249819,427.63708725600003,0.22079144585355603,0.2192087114746775
1789550085429349700,1789550085434130684,275.808249819,427.63708725600003,0.22079144585355603,0.2192087114746775
1789550085434369477,1789550085445574014,275.808249819,427.63708725600003,0.2192087114746775,0.21841734428523824
1789550085445226945,1789550085447602354,275.944774128,427.776679527,0.2192087114746775,0.21841734428523824
1789550085449572269,1789550085454175608,275.944774128,427.776679527,0.2192087114746775,0.21841734428523824
1789550085453962741,1789550085465517143,275.944774128,427.776679527,0.2215828130429953,0.2192087114746775
1789550085466432648,1789550085470652048,276.087434361,427.914737817,0.2215828130429953,0.2192087114746775
1789550085471328538,1789550085474521269,276.087434361,427.914737817,0.2215828130429953,0.2192087114746775
1789550085475377015,1789550085490324756,276.087434361,427.914737817,0.22079144585355603,0.21841734428523824
1789550085493689391,1789550085495586196,276.22395867,428.051262126,0.22079144585355603,0.21841734428523824
1789550085507585555,1789550085510962541,276.22395867,428.051262126,0.22079144585355603,0.21762597709579895
1789550085512242467,1789550085515804617,276.363550941,428.19238837800003,0.22079144585355603,0.21762597709579895
1789550085517286132,1789550085529074494,276.363550941,428.19238837800003,0.2215828130429953,0.2192087114746775
1789550085529094123,1789550085532940825,276.50007525,428.330446668,0.2215828130429953,0.2192087114746775
1789550085533583483,1789550085539094567,276.50007525,428.330446668,0.2215828130429953,0.2192087114746775
1789550085538248635,1789550085552056763,276.50007525,428.330446668,0.21841734428523824,0.21841734428523824
1789550085554363099,1789550085559082103,276.636599559,428.47157292,0.21841734428523824,0.21841734428523824
1789550085559397710,1789550085569596039,276.636599559,428.47157292,0.22000007866411675,0.2192087114746775
1789550085570470082,1789550085573683275,276.774657849,428.608097229,0.22000007866411675,0.2192087114746775
1789550085573150838,1789550085576837006,276.774657849,428.608097229,0.22000007866411675,0.2192087114746775
1789550085579620761,1789550085591176718,276.774657849,428.608097229,0.22079144585355603,0.22000007866411675
1789550085592321479,1789550085596694544,276.909648177,428.749223481,0.22079144585355603,0.22000007866411675
1789550085600564690,1789550085612108537,276.909648177,428.749223481,0.21762597709579895,0.2192087114746775
1789550085613003820,1789550085617169072,277.047706467,428.887281771,0.21762597709579895,0.2192087114746775
1789550085618026060,1789550085623284926,277.047706467,428.887281771,0.21762597709579895,0.2192087114746775
1789550085623915879,1789550085633243981,277.047706467,428.887281771,0.21841734428523824,0.2192087114746775
1789550085633710363,1789550085638935915,277.187298738,429.029942004,0.21841734428523824,0.2192087114746775
1789550085638125131,1789550085640120361,277.187298738,429.029942004,0.21841734428523824,0.2192087114746775
1789550085642465066,1789550085653967877,277.187298738,429.029942004,0.2192087114746775,0.2192087114746775
1789550085654935085,1789550085662715006,277.323823047,429.166466313,0.2192087114746775,0.2192087114746775
1789550085659277353,1789550085662910725,277.323823047,429.166466313,0.2192087114746775,0.2192087114746775
1789550085662202921,1789550085674958842,277.323823047,429.166466313,0.2168346099063597,0.21841734428523824
1789550085674572200,1789550085677648488,277.461881337,429.309126546,0.2168346099063597,0.21841734428523824
1789550085679690476,1789550085682376417,277.461881337,429.309126546,0.2168346099063597,0.21841734428523824
1789550085682180161,1789550085686539263,277.461881337,429.309126546,0.2168346099063597,0.21841734428523824
1789550085688616139,1789550085697261011,277.461881337,429.309126546,0.21841734428523824,0.22000007866411675
1789550085699843546,1789550085703194830,277.603007589,429.45332076,0.21841734428523824,0.22000007866411675
1789550085703612009,1789550085706470633,277.603007589,429.45332076,0.21841734428523824,0.22000007866411675
1789550085707423841,1789550085717671837,277.603007589,429.45332076,0.2192087114746775,0.21841734428523824
1789550085717923240,1789550085726779238,277.739531898,429.59137905,0.2192087114746775,0.21841734428523824
1789550085727871333,1789550085739066963,277.739531898,429.59137905,0.2160432427169204,0.21762597709579895
1789550085740555126,1789550085742573207,277.874522226,429.72943734,0.2160432427169204,0.21762597709579895
1789550085744622565,1789550085747511411,277.874522226,429.72943734,0.2160432427169204,0.21762597709579895
1789550085749157664,1789550085764026999,277.874522226,429.72943734,0.21841734428523824,0.21841734428523824
1789550085764618101,1789550085769447363,278.014114497,429.870563592,0.21841734428523824,0.21841734428523824
1789550085770269054,1789550085779886392,278.014114497,429.870563592,0.21762597709579895,0.21841734428523824
1789550085780163259,1789550085783719724,278.152172787,430.010155863,0.21762597709579895,0.21841734428523824
1789550085789219809,1789550085800569177,278.152172787,430.010155863,0.2168346099063597,0.21841734428523824
1789550085802575518,1789550085805727841,278.291765058,430.151282115,0.2168346099063597,0.21841734428523824
1789550085807113117,1789550085809497489,278.291765058,430.151282115,0.2168346099063597,0.21841734428523824
1789550085812282022,1789550085821608420,278.291765058,430.151282115,0.22079144585355603,0.22079144585355603
1789550085821710678,1789550085823808646,278.434425291,430.28627244300003,0.22079144585355603,0.22079144585355603
1789550085824500525,1789550085826502532,278.434425291,430.28627244300003,0.22079144585355603,0.22079144585355603
1789550085827406371,1789550085831132112,278.434425291,430.28627244300003,0.22079144585355603,0.22079144585355603
1789550085832672348,1789550085843391411,278.434425291,430.28627244300003,0.2192087114746775,0.21841734428523824
1789550085842580126,1789550085846057760,278.57248358100003,430.424330733,0.2192087114746775,0.21841734428523824
1789550085849492838,1789550085851662769,278.57248358100003,430.424330733,0.2192087114746775,0.21841734428523824
1789550085852326759,1789550085863978419,278.57248358100003,430.424330733,0.2168346099063597,0.21841734428523824
